#separator:tab
#html:true
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure</div>
<img src=""Element Notation (1).png""><div><br><div><div>In element notation, A is the<font color=""#e12727"">&nbsp;</font><span class=""cloze"" data-cloze=""Mass&#x20;number"" data-ordinal=""1"">[...]</span></div></div></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure</div>
    <img src=""Element Notation (1).png""><div><br><div><div>In element notation, A is the<font color=""#e12727"">&nbsp;</font><span class=""cloze"" data-ordinal=""1"">Mass number</span></div></div></div>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Mass Number.png"" /></div><div><br /></div>
<a href=""https://www.khanacademy.org/science/biology/chemistry--of-life/elements-and-atoms/v/introduction-to-the-atom"">Khan Academy Link</a></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Stomach</div>
<i>G-cells</i> secrete&nbsp;<span class=""cloze"" data-cloze=""gastrin"" data-ordinal=""1"">[...]</span>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Stomach</div>
    <i>G-cells</i> secrete&nbsp;<span class=""cloze"" data-ordinal=""1"">gastrin</span>
    <div>&nbsp;</div>
    <div id='extra'><div>A peptide hormone that <u>increases HCl&nbsp;secretion</u> and gastric motility</div><div><br></div><div><div><img src=""Stomach 2.png""></div><div><br></div><div><a href=""https://www.youtube.com/watch?v=j7wTeakwo_g"">YouTube Link</a></div></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Stomach</div>
<div>After <b>processing in the stomach</b>, food particles are now called&nbsp;<span class=""cloze"" data-cloze=""chyme"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Stomach</div>
    <div>After <b>processing in the stomach</b>, food particles are now called&nbsp;<span class=""cloze"" data-ordinal=""1"">chyme</span></div>
    <div>&nbsp;</div>
    <div id='extra'><div>Chyme exits through<i> pyloric sphincter </i>and enters the <u>duodenum</u><br></div><div><br></div><div><img src=""Chyme.jpg""></div><div><br></div><div><a href=""https://www.youtube.com/watch?v=j7wTeakwo_g"">YouTube Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Stomach</div>
The <b>stomach</b> has a pH of about <span class=""cloze"" data-cloze=""2"" data-ordinal=""1"">[...]</span>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Stomach</div>
    The <b>stomach</b> has a pH of about <span class=""cloze"" data-ordinal=""1"">2</span>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Stomach pH.jpg""></div><div><br></div><div><a href=""https://www.youtube.com/watch?v=j7wTeakwo_g"">YouTube Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Small_Intestine</div>
The <span class=""cloze"" data-cloze=""duodenum"" data-ordinal=""1"">[...]</span> is the first part of&nbsp;small intestine and the site of the&nbsp;<b>majority of chemical digestion</b>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Small_Intestine</div>
    The <span class=""cloze"" data-ordinal=""1"">duodenum</span> is the first part of&nbsp;small intestine and the site of the&nbsp;<b>majority of chemical digestion</b>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Small Intestine.jpg""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/health-and-medicine/human-anatomy-and-physiology/gastrointestinal-system-introduction/v/small-intestine-part-1"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Small_Intestine</div>
The following enzymes are found in the <span class=""cloze"" data-cloze=""duodenum"" data-ordinal=""1"">[...]</span>:<div><br></div><div><u>Disaccharidases</u><div><div><u>Aminopeptidase&nbsp;&amp;&nbsp;Dipeptidase</u></div></div><div><u>Enteropeptidase</u></div></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Small_Intestine</div>
    The following enzymes are found in the <span class=""cloze"" data-ordinal=""1"">duodenum</span>:<div><br></div><div><u>Disaccharidases</u><div><div><u>Aminopeptidase&nbsp;&amp;&nbsp;Dipeptidase</u></div></div><div><u>Enteropeptidase</u></div></div>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Small Intestine.jpg""></div><div><br></div><div><a href=""https://www.youtube.com/watch?v=0HsW6LVdRQ4"">YouTube Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Small_Intestine</div>
<span class=""cloze"" data-cloze=""Disaccharidase"" data-ordinal=""1"">[Enzyme]</span> is a brush-border enzyme that breaks down&nbsp;<i>maltose</i>,&nbsp;<i>isomaltose</i>,&nbsp;<i>lactose</i>, and&nbsp;<i>sucrose</i>&nbsp;into monosaccharides
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Small_Intestine</div>
    <span class=""cloze"" data-ordinal=""1"">Disaccharidase</span> is a brush-border enzyme that breaks down&nbsp;<i>maltose</i>,&nbsp;<i>isomaltose</i>,&nbsp;<i>lactose</i>, and&nbsp;<i>sucrose</i>&nbsp;into monosaccharides
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Disaccharidases.png""></div><div><br></div><div><a href=""https://www.youtube.com/watch?v=0HsW6LVdRQ4"">YouTube Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Small_Intestine</div>
<span class=""cloze"" data-cloze=""Aminopeptidase"" data-ordinal=""1"">[Enzyme]</span> is a brush-border enzyme that breaks apart&nbsp;<i>amino acids</i><br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Small_Intestine</div>
    <span class=""cloze"" data-ordinal=""1"">Aminopeptidase</span> is a brush-border enzyme that breaks apart&nbsp;<i>amino acids</i><br>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Aminopeptidase.png""></div><div><br></div><div><a href=""https://www.youtube.com/watch?v=0HsW6LVdRQ4"">YouTube Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Small_Intestine</div>
<span class=""cloze"" data-cloze=""Enteropeptidase"" data-ordinal=""1"">[Enzyme]</span> is a brush-border enzyme that <b>activates&nbsp;trypsinogen</b>&nbsp;to make <u>trypsin</u>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Small_Intestine</div>
    <span class=""cloze"" data-ordinal=""1"">Enteropeptidase</span> is a brush-border enzyme that <b>activates&nbsp;trypsinogen</b>&nbsp;to make <u>trypsin</u>
    <div>&nbsp;</div>
    <div id='extra'><div>Also called <i>enterokinase</i></div><div><i><br></i></div><div><i><img src=""Enterokinase.gif""></i></div><div><i><br></i></div><div><a href=""https://www.youtube.com/watch?v=0HsW6LVdRQ4"">YouTube Link</a><br></div>
</div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Small_Intestine</div>
<span class=""cloze"" data-cloze=""Trypsin"" data-ordinal=""1"">[Enzyme]</span> catalyzes the <u>hydrolysis of&nbsp;peptide bonds </u>which breaks&nbsp;down proteins into smaller peptides
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Small_Intestine</div>
    <span class=""cloze"" data-ordinal=""1"">Trypsin</span> catalyzes the <u>hydrolysis of&nbsp;peptide bonds </u>which breaks&nbsp;down proteins into smaller peptides
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Enterokinase.gif""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/health-and-medicine/human-anatomy-and-physiology/gastrointestinal-system-introduction/v/small-intestine-part-2-digestion"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Small_Intestine</div>
<span class=""cloze"" data-cloze=""Secretin"" data-ordinal=""1"">[...]</span> and <span class=""cloze"" data-cloze=""Cholecystokinin&#x20;&#x28;CCK&#x29;"" data-ordinal=""1"">[...]</span> are hormones in the&nbsp;<b>duodenum</b> that&nbsp;stimulate the release of <u>pancreatic juices</u> and <u>bile</u>, which aid in digestion
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Small_Intestine</div>
    <span class=""cloze"" data-ordinal=""1"">Secretin</span> and <span class=""cloze"" data-ordinal=""1"">Cholecystokinin (CCK)</span> are hormones in the&nbsp;<b>duodenum</b> that&nbsp;stimulate the release of <u>pancreatic juices</u> and <u>bile</u>, which aid in digestion
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Secretin.png""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/health-and-medicine/human-anatomy-and-physiology/gastrointestinal-system-introduction/v/control-of-the-gi-tract"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Small_Intestine</div>
<span class=""cloze"" data-cloze=""Secretin"" data-ordinal=""1"">[Hormone]</span> stimulates the release of&nbsp;<u>pancreatic&nbsp;juices</u>&nbsp;and&nbsp;<i>slows motility</i>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Small_Intestine</div>
    <span class=""cloze"" data-ordinal=""1"">Secretin</span> stimulates the release of&nbsp;<u>pancreatic&nbsp;juices</u>&nbsp;and&nbsp;<i>slows motility</i>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Secretin.png""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/health-and-medicine/human-anatomy-and-physiology/gastrointestinal-system-introduction/v/control-of-the-gi-tract"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Small_Intestine</div>
<span class=""cloze"" data-cloze=""Cholecystokinin&#x20;&#x28;CKK&#x29;"" data-ordinal=""1"">[...]</span> stimulates&nbsp;<u>bile</u>&nbsp;release from the gallbladder, release of&nbsp;<u>pancreatic juices</u>, and <i>promotes&nbsp;satiety</i>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Small_Intestine</div>
    <span class=""cloze"" data-ordinal=""1"">Cholecystokinin (CKK)</span> stimulates&nbsp;<u>bile</u>&nbsp;release from the gallbladder, release of&nbsp;<u>pancreatic juices</u>, and <i>promotes&nbsp;satiety</i>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Secretin.png""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/health-and-medicine/human-anatomy-and-physiology/gastrointestinal-system-introduction/v/control-of-the-gi-tract"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Small_Intestine</div>
<div>The <i>jejunum</i>&nbsp;and <i>ileum</i>&nbsp;of the small intestine are primarily involved in&nbsp;<span class=""cloze"" data-cloze=""absorption"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Small_Intestine</div>
    <div>The <i>jejunum</i>&nbsp;and <i>ileum</i>&nbsp;of the small intestine are primarily involved in&nbsp;<span class=""cloze"" data-ordinal=""1"">absorption</span></div>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Small Intestine.jpg""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/health-and-medicine/human-anatomy-and-physiology/gastrointestinal-system-introduction/v/small-intestine-part-1"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Small_Intestine</div>
<div>The <b>small intestine is lined with</b> <span class=""cloze"" data-cloze=""villi"" data-ordinal=""1"">[...]</span>, which are covered with&nbsp;<span class=""cloze"" data-cloze=""microvilli"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Small_Intestine</div>
    <div>The <b>small intestine is lined with</b> <span class=""cloze"" data-ordinal=""1"">villi</span>, which are covered with&nbsp;<span class=""cloze"" data-ordinal=""1"">microvilli</span></div>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Villi 2.jpg""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/health-and-medicine/human-anatomy-and-physiology/gastrointestinal-system-introduction/v/small-intestine-part-1"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Small_Intestine</div>
<span class=""cloze"" data-cloze=""Villi"" data-ordinal=""1"">[...]</span> are small finger-like projections of tissue which&nbsp;<i>increase the surface area&nbsp;of the intestine</i>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Small_Intestine</div>
    <span class=""cloze"" data-ordinal=""1"">Villi</span> are small finger-like projections of tissue which&nbsp;<i>increase the surface area&nbsp;of the intestine</i>
    <div>&nbsp;</div>
    <div id='extra'><div><u>The</u> <u>capillary bed</u> <u>absorbs water-soluble nutrients</u><br></div><div><br></div><div><b>The lacteal absorbs fat and&nbsp;sends it to the lymphatic system</b></div><div><br></div><div><img src=""Villi 2.jpg""></div><div><br></div><div><img src=""Villi.png""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/health-and-medicine/human-anatomy-and-physiology/gastrointestinal-system-introduction/v/small-intestine-part-3-absorption&quot;"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Small_Intestine</div>
The fat soluble vitamins are <span class=""cloze"" data-cloze=""A"" data-ordinal=""1"">[...]</span>, <span class=""cloze"" data-cloze=""D"" data-ordinal=""1"">[...]</span>, <span class=""cloze"" data-cloze=""E"" data-ordinal=""1"">[...]</span>, and <span class=""cloze"" data-cloze=""K"" data-ordinal=""1"">[...]</span>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Small_Intestine</div>
    The fat soluble vitamins are <span class=""cloze"" data-ordinal=""1"">A</span>, <span class=""cloze"" data-ordinal=""1"">D</span>, <span class=""cloze"" data-ordinal=""1"">E</span>, and <span class=""cloze"" data-ordinal=""1"">K</span>
    <div>&nbsp;</div>
    <div id='extra'><div>They are absorbed through the <b>lacteals</b> in the villi<br></div><div><br></div><div><img src=""Fat Soluble Vitamins.jpg""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/high-school-biology/hs-biology-foundations/hs-biological-macromolecules/v/introduction-to-vitamins-and-minerals"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Large_Intestine</div>
The <span class=""cloze"" data-cloze=""large&#x20;intestine"" data-ordinal=""1"">[...]</span> absorbs <u>H<sub>2</sub>O&nbsp;and salts</u>, and forms feces
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Large_Intestine</div>
    The <span class=""cloze"" data-ordinal=""1"">large intestine</span> absorbs <u>H<sub>2</sub>O&nbsp;and salts</u>, and forms feces
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Large Intestine.jpg""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/health-and-medicine/human-anatomy-and-physiology/gastrointestinal-system-introduction/v/colon-rectum-anus"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Large_Intestine</div>
The <span class=""cloze"" data-cloze=""cecum"" data-ordinal=""1"">[...]</span> is the first part of the&nbsp;large intestine and is an outpocketing that&nbsp;<b>accepts fluid&nbsp;from the small&nbsp;intestine</b>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Large_Intestine</div>
    The <span class=""cloze"" data-ordinal=""1"">cecum</span> is the first part of the&nbsp;large intestine and is an outpocketing that&nbsp;<b>accepts fluid&nbsp;from the small&nbsp;intestine</b>
    <div>&nbsp;</div>
    <div id='extra'><div>Site of&nbsp;attachment of the <i>appendix</i><br></div><div><br></div><div><img src=""Colon.jpg""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/health-and-medicine/human-anatomy-and-physiology/gastrointestinal-system-introduction/v/colon-rectum-anus"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Large_Intestine</div>
The <i>colon</i> has the following four segments:<div><br></div><div><span class=""cloze"" data-cloze=""Ascending"" data-ordinal=""1"">[...]</span></div><div><span class=""cloze"" data-cloze=""Transverse"" data-ordinal=""1"">[...]</span></div><div><span class=""cloze"" data-cloze=""Descending"" data-ordinal=""1"">[...]</span></div><div><span class=""cloze"" data-cloze=""Sigmoid"" data-ordinal=""1"">[...]</span><br></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Large_Intestine</div>
    The <i>colon</i> has the following four segments:<div><br></div><div><span class=""cloze"" data-ordinal=""1"">Ascending</span></div><div><span class=""cloze"" data-ordinal=""1"">Transverse</span></div><div><span class=""cloze"" data-ordinal=""1"">Descending</span></div><div><span class=""cloze"" data-ordinal=""1"">Sigmoid</span><br></div>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Colon.jpg""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/health-and-medicine/human-anatomy-and-physiology/gastrointestinal-system-introduction/v/colon-rectum-anus"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Large_Intestine</div>
The <span class=""cloze"" data-cloze=""gut&#x20;microbiota"" data-ordinal=""1"">[...]</span> is a community of <u>microorganisms</u> that live in the digestive tracts
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Large_Intestine</div>
    The <span class=""cloze"" data-ordinal=""1"">gut microbiota</span> is a community of <u>microorganisms</u> that live in the digestive tracts
    <div>&nbsp;</div>
    <div id='extra'><div>These microoganisms <b>produce vitamin K and biotin</b> (vitamin B<sub>7</sub>)<br></div><div><br></div><div><img src=""Gut Microbiota.png""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/health-and-medicine/human-anatomy-and-physiology/gastrointestinal-system-introduction/v/colon-rectum-anus"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion</div>
The <i>GI tract</i> originates from the <span class=""cloze"" data-cloze=""endoderm"" data-ordinal=""1"">[germ layer]</span>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion</div>
    The <i>GI tract</i> originates from the <span class=""cloze"" data-ordinal=""1"">endoderm</span>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Germ Layers.gif""></div><div><br></div><div><a href=""https://www.khanacademy.org/test-prep/mcat/cells/embryology/v/germ-layer-derivatives"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Other_Organs</div>
The pancreatic <span class=""cloze"" data-cloze=""acinar&#x20;cell"" data-ordinal=""1"">[... cell]</span> is&nbsp;the functional unit of the <u>exocrine</u>&nbsp;<u>pancreas</u>. It synthesizes, stores, and secretes <b>digestive enzymes</b><div><br></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Other_Organs</div>
    The pancreatic <span class=""cloze"" data-ordinal=""1"">acinar cell</span> is&nbsp;the functional unit of the <u>exocrine</u>&nbsp;<u>pancreas</u>. It synthesizes, stores, and secretes <b>digestive enzymes</b><div><br></div>
    <div>&nbsp;</div>
    <div id='extra'><div>Pancreatic juices contain&nbsp;<i>bicarbonate</i>, pancreatic&nbsp;<i>amylase</i>, pancreatic&nbsp;<i>peptidases</i>,&nbsp;and pancreatic&nbsp;<i>lipase</i><br></div><div><i><br></i></div><div>The juices flow into the duodenum</div><div><br></div><div><img src=""Acinar Cells.jpg""></div><div><br></div><div><i><img src=""Pancreas 1.jpg""></i></div><div><br></div><div><a href=""https://www.khanacademy.org/science/health-and-medicine/human-anatomy-and-physiology/gastrointestinal-system-introduction/v/exocrine-pancreas"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Other_Organs</div>
<div>As an&nbsp;<b>endocrine&nbsp;gland</b>, the pancreas secretes the&nbsp;<span class=""cloze"" data-cloze=""hormones"" data-ordinal=""1"">[...]</span> to control blood sugar levels</div><div><br></div><div>As an&nbsp;<u>exocrine&nbsp;gland</u>, the pancreas excretes&nbsp;<span class=""cloze"" data-cloze=""enzymes"" data-ordinal=""1"">[...]</span>&nbsp;to break down the&nbsp;proteins,&nbsp;lipids,&nbsp;carbohydrates, and&nbsp;nucleic acids&nbsp;in food</div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Other_Organs</div>
    <div>As an&nbsp;<b>endocrine&nbsp;gland</b>, the pancreas secretes the&nbsp;<span class=""cloze"" data-ordinal=""1"">hormones</span> to control blood sugar levels</div><div><br></div><div>As an&nbsp;<u>exocrine&nbsp;gland</u>, the pancreas excretes&nbsp;<span class=""cloze"" data-ordinal=""1"">enzymes</span>&nbsp;to break down the&nbsp;proteins,&nbsp;lipids,&nbsp;carbohydrates, and&nbsp;nucleic acids&nbsp;in food</div>
    <div>&nbsp;</div>
    <div id='extra'><div><b>Endocrine pancreatic hormones are insulin and glucagon</b></div><div><br></div><div><img src=""Pancreas Endo vs Exo.png""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/health-and-medicine/human-anatomy-and-physiology/gastrointestinal-system-introduction/v/endocrine-pancreas"">Khan Academy Link - Endocrine Pancreas</a></div><div><br></div>
<a href=""https://www.khanacademy.org/science/health-and-medicine/human-anatomy-and-physiology/gastrointestinal-system-introduction/v/exocrine-pancreas"">Khan Academy Link - Exocrine Pancreas</a></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Other_Organs MileDown::Biology::Digestion::Small_Intestine</div>
The <b>pancreas</b> is connected to the <i>duodenum</i> via the <span class=""cloze"" data-cloze=""pancreatic&#x20;ducts"" data-ordinal=""1"">[...]</span>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Other_Organs MileDown::Biology::Digestion::Small_Intestine</div>
    The <b>pancreas</b> is connected to the <i>duodenum</i> via the <span class=""cloze"" data-ordinal=""1"">pancreatic ducts</span>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Pancreas Connection.jpg""></div><div><br></div><div><a href=""https://www.youtube.com/watch?v=NZ4zcrTzUjA"">YouTube Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Other_Organs</div>
The <span class=""cloze"" data-cloze=""liver"" data-ordinal=""1"">[...]</span> synthesizes&nbsp;<i>bile</i>,&nbsp;<i>albumin</i>&nbsp;and&nbsp;<i>clotting factors</i>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Other_Organs</div>
    The <span class=""cloze"" data-ordinal=""1"">liver</span> synthesizes&nbsp;<i>bile</i>,&nbsp;<i>albumin</i>&nbsp;and&nbsp;<i>clotting factors</i>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Liver.jpg""><br></div><div><br></div><div><img src=""Liver 2.jpg""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/health-and-medicine/human-anatomy-and-physiology/gastrointestinal-system-introduction/v/liver"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Other_Organs MileDown::Biology::Digestion::Small_Intestine</div>
<u>Bile</u> is made in the <span class=""cloze"" data-cloze=""liver"" data-ordinal=""1"">[...]</span> and stored in the <span class=""cloze"" data-cloze=""gallbladder"" data-ordinal=""1"">[...]</span>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Other_Organs MileDown::Biology::Digestion::Small_Intestine</div>
    <u>Bile</u> is made in the <span class=""cloze"" data-ordinal=""1"">liver</span> and stored in the <span class=""cloze"" data-ordinal=""1"">gallbladder</span>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Liver Gallbladder.jpg""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/health-and-medicine/human-anatomy-and-physiology/gastrointestinal-system-introduction/v/biliary-tree"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Other_Organs MileDown::Biology::Digestion::Small_Intestine</div>
<u>Bile</u>&nbsp;increases the&nbsp;absorption of <span class=""cloze"" data-cloze=""fats"" data-ordinal=""1"">[...]</span>&nbsp;
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Other_Organs MileDown::Biology::Digestion::Small_Intestine</div>
    <u>Bile</u>&nbsp;increases the&nbsp;absorption of <span class=""cloze"" data-ordinal=""1"">fats</span>&nbsp;
    <div>&nbsp;</div>
    <div id='extra'>Bile is also an important part of the absorption of the <i>fat-soluble substances</i>, such as the&nbsp;vitamins A, D, E, and K<div><div><br></div><div><img src=""Liver Gallbladder.jpg""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/health-and-medicine/human-anatomy-and-physiology/gastrointestinal-system-introduction/v/biliary-tree"">Khan Academy Link</a></div></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Other_Organs</div>
The&nbsp;<i>hepatic portal system</i>&nbsp;delivers&nbsp;<span class=""cloze"" data-cloze=""deoxygenated"" data-ordinal=""1"">[oxygenated or deoxygenated]</span> blood&nbsp;to the <span class=""cloze"" data-cloze=""liver"" data-ordinal=""1"">[organ]</span> to be detoxified further before it returns to the heart<br>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Other_Organs</div>
    The&nbsp;<i>hepatic portal system</i>&nbsp;delivers&nbsp;<span class=""cloze"" data-ordinal=""1"">deoxygenated</span> blood&nbsp;to the <span class=""cloze"" data-ordinal=""1"">liver</span> to be detoxified further before it returns to the heart<br>
    <div>&nbsp;</div>
    <div id='extra'>
<div><img src=""Hepatic Portal Vein.png""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/health-and-medicine/human-anatomy-and-physiology/gastrointestinal-system-introduction/v/liver"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::Biology::Digestion::Other_Organs</div>
The <span class=""cloze"" data-cloze=""gallbladder"" data-ordinal=""1"">[...]</span> <u>stores and concentrates&nbsp;bile</u>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::Biology::Digestion::Other_Organs</div>
    The <span class=""cloze"" data-ordinal=""1"">gallbladder</span> <u>stores and concentrates&nbsp;bile</u>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Liver Gallbladder.jpg"" style=""color: rgb(62, 127, 14);""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/health-and-medicine/human-anatomy-and-physiology/gastrointestinal-system-introduction/v/biliary-tree"">Khan Academy Link</a><br></div></div>
</div>"
